                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.38662,                 1.9824,                0.86776,                0.47304,                0.79008,                0.67194,                0.65563,                 0.2598,                 1.2647,                0.78233,              0.0002728,              0.0002728,              0.0002728
                      2,                0.26133,                0.84398,                0.81614,                0.87206,                0.90083,                0.95625,                0.94469,                0.22639,                0.59353,                0.77009,             0.00052866,             0.00052866,             0.00052866
                      3,                0.24157,                0.60458,                 0.8095,                0.87679,                0.87056,                 0.9569,                0.95572,                0.17518,                0.61156,                0.76209,             0.00076254,             0.00076254,             0.00076254
                      4,                0.23836,                0.54137,                0.80588,                0.77024,                 0.8141,                0.88235,                0.88056,                0.18945,                0.90538,                 0.7607,             0.00073404,             0.00073404,             0.00073404
                      5,                0.22771,                 0.4418,                0.80112,                0.83934,                0.85136,                0.95014,                0.94953,                 0.1693,                0.65147,                0.75385,             0.00073404,             0.00073404,             0.00073404
                      6,                0.21919,                0.39705,                0.80065,                0.94919,                0.94717,                0.98224,                0.98192,                0.15439,                0.27642,                 0.7563,             0.00070105,             0.00070105,             0.00070105
                      7,                0.20031,                0.38156,                0.80008,                0.94886,                0.85026,                0.97812,                  0.978,                0.15729,                0.41147,                0.75602,             0.00066807,             0.00066807,             0.00066807
                      8,                0.20384,                0.34186,                0.80051,                0.92902,                0.92069,                 0.9904,                0.99039,                0.13782,                0.31613,                0.75085,             0.00063508,             0.00063508,             0.00063508
                      9,                0.19741,                 0.3204,                0.79647,                0.97792,                0.97909,                0.99194,                0.99184,                 0.1586,                0.19777,                 0.7536,             0.00060209,             0.00060209,             0.00060209
                     10,                 0.1896,                0.30051,                0.79767,                0.98802,                0.98475,                0.99266,                0.99265,                0.11901,                0.15918,                 0.7504,             0.00056911,             0.00056911,             0.00056911
                     11,                0.18156,                0.26527,                0.79595,                0.94924,                0.96703,                0.97922,                0.97919,                0.12314,                0.24781,                0.74867,             0.00053612,             0.00053612,             0.00053612
                     12,                0.17882,                0.24233,                0.79506,                0.95404,                0.96585,                0.97638,                0.97636,                0.12013,                0.24866,                0.74744,             0.00050313,             0.00050313,             0.00050313
                     13,                0.17491,                0.23812,                0.79247,                0.95404,                0.98675,                0.98195,                0.98192,                0.13482,                0.20276,                0.74867,             0.00047015,             0.00047015,             0.00047015
                     14,                0.16753,                0.23538,                0.79302,                0.98074,                0.98679,                0.99447,                0.99445,                 0.1239,                0.14803,                0.74862,             0.00043716,             0.00043716,             0.00043716
                     15,                0.16251,                0.22003,                0.79199,                0.94848,                0.95381,                0.97221,                0.97219,                0.11302,                0.27601,                0.74743,             0.00040417,             0.00040417,             0.00040417
                     16,                0.14203,                0.17848,                0.78785,                0.98185,                0.98446,                0.99126,                0.99126,                0.10919,                0.14578,                0.74691,             0.00037118,             0.00037118,             0.00037118
                     17,                 0.1356,                0.16943,                0.78797,                0.99132,                0.99332,                0.99355,                0.99353,                0.11337,                 0.1217,                0.74688,              0.0003382,              0.0003382,              0.0003382
                     18,                0.13125,                0.15365,                0.78648,                0.98837,                0.98957,                0.99347,                0.99345,                0.11862,                0.12639,                0.74683,             0.00030521,             0.00030521,             0.00030521
                     19,                0.12611,                0.14086,                0.78692,                0.99581,                 0.9966,                0.99357,                0.99357,                0.10443,                 0.1028,                0.74614,             0.00027222,             0.00027222,             0.00027222
                     20,                 0.1231,                0.13251,                0.78575,                0.98278,                0.98013,                0.99181,                0.99181,                0.10873,                 0.1529,                 0.7455,             0.00023924,             0.00023924,             0.00023924
                     21,                0.11762,                0.12896,                0.78826,                0.95394,                0.95779,                0.96414,                0.96414,                0.09377,                 0.2723,                0.74431,             0.00020625,             0.00020625,             0.00020625
                     22,                0.11325,                0.11415,                0.78442,                0.99451,                0.99656,                0.99339,                0.99339,                0.09013,                0.09847,                0.74467,             0.00017326,             0.00017326,             0.00017326
                     23,                0.11376,                0.11001,                0.78447,                0.98749,                0.99011,                0.99378,                0.99378,                0.09282,                0.10446,                0.74496,             0.00014028,             0.00014028,             0.00014028
                     24,                0.10856,                0.10542,                0.78465,                0.97754,                0.98214,                0.98383,                0.98383,                0.10421,                 0.1476,                0.74538,             0.00010729,             0.00010729,             0.00010729
                     25,                0.10655,                0.10326,                0.78447,                0.99056,                0.99109,                0.99377,                0.99377,                0.08495,                0.09046,                0.74451,             7.4304e-05,             7.4304e-05,             7.4304e-05
